date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2015-01-01,-2.7,-4.5,-0.6,0,100,191.2,7.2,22.3,1038.1,30
2015-01-02,0.9,-5.5,3.7,0.3,40,198.6,14.4,42.8,1035.4,0
2015-01-03,5.2,-0.6,12.7,4.3,0,205.2,14,60.8,1027.3,0
2015-01-04,3.2,-2.3,6.5,0.5,0,297.3,7.9,29.5,1034.3,282
2015-01-05,-0.4,-4.5,6,0,0,215.6,4.7,14.4,1034.7,402
2015-01-06,-1.2,-5.4,3.8,0,0,265.1,3.6,13.7,1027,378
2015-01-07,2.6,-0.4,6,0.2,0,171.6,6.8,31.3,1031.3,108
2015-01-08,7.4,2.2,10.3,2.2,0,206.6,16.6,47.5,1030.3,0
2015-01-09,9.1,6.4,12.6,1,0,201.6,24.8,60.5,1029.6,0
2015-01-10,13.2,7.8,15.5,0,0,205.4,27.7,54.4,1021.5,168
2015-01-11,5.3,3.4,8,5.3,0,243.8,17.3,51.8,1025.5,132
2015-01-12,5.8,1.1,8.3,0,0,206.3,18,46.1,1026.8,24
2015-01-13,10.3,0.2,15.5,0,0,198.2,18,40,1016.1,378
2015-01-14,7.1,4.2,11.3,6.6,0,207.3,19.1,63.7,1017.3,24
2015-01-15,9.8,5.1,12.1,0,0,194.5,16.6,39.2,1010.2,0
2015-01-16,6.2,4.4,11,25.6,0,274,9.7,35.3,1008.2,0
2015-01-17,3.8,0.5,5.1,8.4,0,168.8,5.8,18.4,1016.4,0
2015-01-18,0.7,-3.1,5.4,0,0,223,5,15.8,1017.4,426
2015-01-19,0.8,-2.7,2.7,1.2,0,140.5,4,14,1012.4,0
2015-01-20,0.9,0.3,2,2,0,21.5,9,22.7,1012.5,0
2015-01-21,1.2,-0.5,3.3,0,0,14.3,6.8,17.3,1010.6,48
2015-01-22,1,-1,2.3,0,0,11.5,5.4,15.8,1014.2,0
2015-01-23,1.3,0.8,1.9,0,0,14.6,9.7,20.2,1023.3,0
2015-01-24,1.4,0.2,3.7,2.7,0,229.8,7.2,28.8,1024.1,0
2015-01-25,1.7,0.1,3.7,0.6,0,79.9,4.7,13.3,1030.8,42
